objectid,ccg18cd,ccg18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
26,E38000031,NHS Central London (Westminster) CCG,528186,181157,-0.15403,51.51480103,18260737.677763,23999.2406173303
27,E38000034,NHS Chorley and South Ribble CCG,355780,419723,-2.67080998,53.67211151,235739265.334761,79762.7454828485
28,E38000035,NHS City and Hackney CCG,534305,185815,-0.06412,51.55524063,22119352.4592401,30565.4882285183
29,E38000037,NHS Corby CCG,487862,290681,-0.7069,52.50696945,79530387.7095782,56845.8013619032
30,E38000038,NHS Coventry and Rugby CCG,440924,277502,-1.40000999,52.39403152,452435074.383271,125453.453035141
31,E38000039,NHS Crawley CCG,526390,137581,-0.19532999,51.12356949,44794625.2078083,35231.5714952013
32,E38000040,NHS Croydon CCG,533922,164745,-0.07761,51.36597824,86215042.6426085,51108.5441171551
33,E38000042,NHS Darlington CCG,428028,515648,-1.56836998,54.53533936,197667703.704041,97624.7561909891
34,E38000043,"NHS Dartford, Gravesham and Swanley CCG",560564,168881,0.306651,51.39624023,268247723.584961,85889.7271666927
35,E38000044,NHS Doncaster CCG,459170,403735,-1.10889995,53.52696991,568721185.663705,124140.351318856
36,E38000045,NHS Dorset CCG,375748,99796,-2.34546995,50.79719925,2657041474.35641,490899.809035893
37,E38000046,NHS Dudley CCG,393195,288584,-2.10165,52.49512863,97321182.7753216,64572.0371620263
49,E38000058,NHS Erewash CCG,446887,337932,-1.30382001,52.93675995,59901922.852169,50257.1866179036
38,E38000047,"NHS Durham Dales, Easington and Sedgefield CCG",411731,529525,-1.81966996,54.66067886,1707158416.21009,304563.316876253
39,E38000048,NHS Ealing CCG,517058,181961,-0.31404999,51.52444077,55464470.7584507,42887.6809399456
40,E38000049,NHS East and North Hertfordshire CCG,531970,221973,-0.08409,51.8807106,984891176.511901,180510.204503122
41,E38000050,NHS East Lancashire CCG,378788,436559,-2.32371998,53.82487106,913866402.243352,189871.847017937
42,E38000051,NHS East Leicestershire and Rutland CCG,483655,310188,-0.76394999,52.68294907,1598378366.0647,281510.264586988
43,E38000052,NHS East Riding of Yorkshire CCG,505033,462634,-0.39725,54.04898834,2151976825.40795,426352.238859943
50,E38000059,NHS Fareham and Gosport CCG,454137,104358,-1.23256004,50.83620834,99498743.3696778,73219.1480900382
44,E38000053,NHS East Staffordshire CCG,412597,321671,-1.81463003,52.79246902,475437687.481582,165316.38087387
45,E38000054,NHS East Surrey CCG,533485,150547,-0.08919,51.23849106,324797191.874167,95407.6729020946
46,E38000055,"NHS Eastbourne, Hailsham and Seaford CCG",559136,105428,0.25817299,50.82651138,309705221.603619,93586.7217621468
47,E38000056,NHS Eastern Cheshire CCG,383595,372237,-2.24729991,53.2469101,625710618.117896,162367.542353111
48,E38000057,NHS Enfield CCG,532829,196197,-0.08147,51.64888,82271436.4368836,38606.7842231306
51,E38000062,NHS Gloucestershire CCG,389595,213465,-2.15234995,51.81970978,2654859543.9081,460232.76310179
52,E38000063,NHS Great Yarmouth and Waveney CCG,641064,284517,1.54264796,52.40552902,542002092.016568,214823.165494601
53,E38000064,NHS Greater Huddersfield CCG,413671,412306,-1.79486001,53.60715103,314306456.823657,85651.8533881671
54,E38000066,NHS Greenwich CCG,542508,175882,0.050109,51.46397018,47255483.017623,41753.2987533684
55,E38000068,NHS Halton CCG,354246,382146,-2.68852997,53.33423996,79251125.9402186,70414.5605231528
56,E38000069,"NHS Hambleton, Richmondshire and Whitby CCG",412296,495154,-1.81233001,54.35177994,2835544167.13446,460060.009826817
57,E38000070,NHS Hammersmith and Fulham CCG,523867,177994,-0.21735001,51.48733902,16220953.9530855,22154.0406969686
58,E38000071,NHS Hardwick CCG,445557,366822,-1.31953001,53.19654846,216932254.013677,100530.395126493
59,E38000072,NHS Haringey CCG,531265,189350,-0.10662,51.58771896,29689947.0215092,26666.0339214593
60,E38000073,NHS Harrogate and Rural District CCG,427473,464652,-1.58160996,54.07707977,1308319095.65383,227852.628770606
61,E38000074,NHS Harrow CCG,515356,189733,-0.33603001,51.59463882,50560256.314462,31866.1130897267
62,E38000075,NHS Hartlepool and Stockton-on-Tees CCG,445468,523188,-1.29770994,54.60184097,298447422.574554,130688.48783678
63,E38000076,NHS Hastings and Rother CCG,578730,119663,0.543064,50.94868088,543793016.579033,145344.213174109
64,E38000077,NHS Havering CCG,555032,187519,0.23537,51.56523895,112871951.396291,57708.8531305853
65,E38000078,NHS Herefordshire CCG,349434,242833,-2.73931003,52.08153915,2179388745.8422,306296.68610347
66,E38000079,NHS Herts Valleys CCG,506779,204790,-0.45521,51.73167038,584049559.76564,159157.61467045
67,E38000080,"NHS Heywood, Middleton and Rochdale CCG",390314,412326,-2.14785004,53.60741043,158059625.560779,74939.9764068581
68,E38000081,NHS High Weald Lewes Havens CCG,548695,120109,0.116006,50.96121979,861650434.851164,199789.3645052
69,E38000082,NHS Hillingdon CCG,508167,183120,-0.4418,51.53662872,115635332.456179,57565.3851362618
70,E38000083,NHS Horsham and Mid Sussex CCG,527997,124493,-0.177,51.0055809,581713606.684867,173414.677370617
71,E38000084,NHS Hounslow CCG,512742,174962,-0.37847,51.46240997,55843067.3490961,54239.2455862079
72,E38000085,NHS Hull CCG,511894,431716,-0.30379999,53.76979065,71303140.331246,45303.1554600353
77,E38000090,NHS Kingston CCG,519505,167386,-0.28371999,51.39292908,37248670.5194708,34930.0367724156
78,E38000091,NHS Knowsley CCG,344764,393521,-2.83290005,53.43556976,86944091.4590124,62659.4070105217
100,E38000121,NHS North Kirklees CCG,421847,422751,-1.67056,53.70074844,94267490.885179,49078.5628290757
73,E38000086,NHS Ipswich and East Suffolk CCG,618753,257475,1.197685,52.1721611,2209556547.18143,518517.217497866
74,E38000087,NHS Isle of Wight CCG,447186,85950,-1.33361995,50.67129898,379388681.966393,150881.275334555
75,E38000088,NHS Islington CCG,531158,184645,-0.10992,51.54545975,14860263.1892675,19369.7762832431
76,E38000089,NHS Kernow CCG,212501,64494,-4.64248991,50.45022964,3570752683.36429,873503.817861798
79,E38000092,NHS Lambeth CCG,531119,175627,-0.11383,51.46443176,26698792.2738067,31168.5810092694
80,E38000097,NHS Leicester City CCG,458946,304594,-1.13039994,52.63592148,73425643.6693677,44455.1280285794
81,E38000098,NHS Lewisham CCG,537888,173344,-0.01734,51.44231033,35155827.1368573,34488.1254839817
82,E38000099,NHS Lincolnshire East CCG,528460,367991,-0.07864,53.19351959,2626748822.91297,417789.407953895
83,E38000100,NHS Lincolnshire West CCG,496961,374198,-0.54804999,53.25595856,1164763670.88619,201489.729832429
84,E38000101,NHS Liverpool CCG,339361,390553,-2.91364002,53.40829849,111216849.887162,56895.0255844138
85,E38000102,NHS Luton CCG,508606,222559,-0.42319,51.89102173,43280755.2178753,32519.8633288672
86,E38000103,NHS Mansfield and Ashfield CCG,452041,360293,-1.22353995,53.13727188,170715030.554976,77705.5475298827
